                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.91792,                 1.3888,                0.86349,                 1.3327,                0.84213,                0.90909,                0.90497,                0.53678,                 0.8216,                0.86364,                0.85781,                0.43197,                  1.418,                 2.3715,                  0.875,                 1.9204,              0.0005975,              0.0005975,              0.0005975
                     87,                0.96679,                 1.4686,                0.89496,                 1.3245,                0.74565,                0.95455,                0.86149,                0.49701,                0.78665,                0.81818,                0.81381,                0.38158,                 1.5486,                 2.5148,                0.87494,                 2.0955,               0.000581,               0.000581,               0.000581
                     88,                0.94662,                 1.3902,                0.85379,                 1.3183,                 0.8736,                0.79545,                0.90563,                0.51926,                0.84184,                0.84691,                0.87897,                0.41276,                 1.3596,                 2.4033,                0.89491,                 1.9538,              0.0005645,              0.0005645,              0.0005645
                     89,                0.87836,                 1.3483,                0.81969,                 1.2936,                0.83685,                0.84091,                0.93087,                0.55373,                0.83302,                0.84091,                0.87882,                0.46922,                 1.2831,                 2.3037,                0.86999,                 1.8496,               0.000548,               0.000548,               0.000548
                     90,                0.91961,                 1.4387,                0.88008,                 1.3436,                0.89573,                0.86364,                0.95623,                0.59208,                0.85737,                0.81818,                 0.8732,                0.49029,                 1.2776,                 2.1156,                0.79316,                 1.8356,              0.0005315,              0.0005315,              0.0005315
                     91,                0.90963,                 1.3771,                0.90417,                  1.325,                0.85627,                0.88636,                0.92245,                0.57091,                0.86056,                0.88636,                0.91139,                0.49481,                 1.2856,                 2.0471,                0.77458,                 1.8765,               0.000515,               0.000515,               0.000515
                     92,                0.90963,                  1.401,                0.86366,                 1.2586,                 0.8703,                0.77273,                0.90683,                0.57736,                0.93976,                0.84091,                0.92598,                0.48948,                 1.2332,                 2.1302,                0.78836,                  1.848,              0.0004985,              0.0004985,              0.0004985
                     93,                0.87771,                 1.2875,                0.81526,                  1.292,                0.72581,                0.93182,                 0.8496,                0.55055,                0.81953,                0.77273,                0.81898,                0.46614,                 1.2603,                 2.2315,                 0.8466,                 1.8421,               0.000482,               0.000482,               0.000482
                     94,                0.89849,                 1.3391,                 0.8554,                 1.3161,                0.76257,                0.86364,                0.85189,                0.52875,                0.78046,                0.72727,                 0.7812,                0.44154,                 1.3395,                 2.4336,                0.85041,                 1.9274,              0.0004655,              0.0004655,              0.0004655
                     95,                0.81817,                  1.256,                0.80549,                 1.2311,                0.73508,                0.81985,                0.82375,                0.51017,                0.83351,                0.70455,                0.82316,                0.41483,                 1.3512,                 2.6639,                0.89413,                 1.9056,               0.000449,               0.000449,               0.000449
                     96,                0.86442,                 1.2534,                0.77159,                 1.2529,                0.74214,                0.95455,                0.88989,                0.53348,                0.80367,                   0.75,                0.81584,                 0.4307,                  1.304,                 2.5542,                0.86053,                 1.8505,              0.0004325,              0.0004325,              0.0004325
                     97,                0.82904,                 1.2837,                0.77406,                 1.2371,                   0.75,                0.93182,                0.89821,                0.56407,                0.81204,                0.78562,                0.84961,                0.48151,                 1.2503,                 2.3767,                  0.837,                 1.8312,               0.000416,               0.000416,               0.000416
